time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,propellant,mass_flow_rate,thrust,mass,apoapsis,periapsis
34,315.3,22.52,107.9,25.2,16.2,0.82,87,6548,460700,1530,5600000,490700,0,0
35,324.0,24.00,110.5,29.0,16.3,0.95,87,6640,459000,1525,5600000,489000,0,0
36,332.7,25.52,113.1,32.8,16.4,1.08,87,6732,457300,1520,5600000,487300,0,0
37,341.4,27.08,115.7,36.6,16.5,1.21,87,6824,455600,1515,5600000,485600,0,0
38,350.1,28.68,118.3,40.4,16.6,1.34,87,6916,453900,1510,5600000,483900,0,0
39,358.8,30.32,120.9,44.2,16.7,1.47,87,7008,452200,1505,5600000,482200,0,0
40,367.2,38.5,127.1,5.2,16.5,0.1,88,10776,450000,1330,5600000,480000,0,0
41,375.8,40.52,129.2,9.8,16.6,0.25,87,10945,448200,1325,5600000,478200,0,0
42,384.4,42.58,131.3,14.4,16.7,0.40,87,11114,446400,1320,5600000,476400,0,0
43,393.0,44.68,133.4,19.0,16.8,0.55,87,11283,444600,1315,5600000,474600,0,0
44,401.6,46.82,135.5,23.6,16.9,0.70,87,11452,442800,1310,5600000,472800,0,0
45,410.2,48.98,137.6,28.2,17.0,0.85,87,11621,441000,1305,5600000,471000,0,0
46,418.8,51.18,139.7,32.8,17.1,1.00,87,11790,439200,1300,5600000,469200,0,0
47,427.4,53.42,141.8,37.4,17.2,1.15,87,11959,437400,1295,5600000,467400,0,0
48,436.0,55.70,143.9,42.0,17.3,1.30,87,12128,435600,1290,5600000,465600,0,0
49,444.6,58.02,146.0,46.6,17.4,1.45,87,12297,433800,1285,5600000,463800,0,0
50,450.1,75.2,155.3,25.4,17.2,0.8,85,19253,432000,1110,5600000,462000,0,0
51,458.2,78.12,157.8,30.8,17.3,1.12,85,19485,430500,1105,5600000,460500,0,0
52,466.3,81.08,160.3,36.2,17.4,1.44,85,19717,429000,1100,5600000,459000,0,0
53,474.4,84.08,162.8,41.6,17.5,1.76,85,19949,427500,1095,5600000,457500,0,0
54,482.5,87.12,165.3,47.0,17.6,2.08,85,20181,426000,1090,5600000,456000,0,0
55,490.6,90.20,167.8,52.4,17.7,2.40,85,20413,424500,1085,5600000,454500,0,0
56,498.7,93.32,170.3,57.8,17.8,2.72,85,20645,423000,1080,5600000,453000,0,0
57,506.8,96.48,172.8,63.2,17.9,3.04,85,20877,421500,1075,5600000,451500,0,0
58,514.9,99.68,175.3,68.6,18.0,3.36,85,21109,420000,1070,5600000,450000,0,0
59,523.0,102.92,177.8,74.0,18.1,3.68,85,21341,418500,1065,5600000,448500,0,0
60,528.3,127.5,181.8,51.2,17.8,2.5,82,25815,417000,890,5600000,447000,0,0
61,535.8,131.28,183.8,57.4,17.9,2.95,82,26125,415200,885,5600000,445200,0,0
62,543.3,135.10,185.8,63.6,18.0,3.40,82,26435,413400,880,5600000,443400,0,0
63,550.8,138.96,187.8,69.8,18.1,3.85,82,26745,411600,875,5600000,441600,0,0
64,558.3,142.86,189.8,76.0,18.2,4.30,82,27055,409800,870,5600000,439800,0,0
65,565.8,146.80,191.8,82.2,18.3,4.75,82,27365,408000,865,5600000,438000,0,0
66,573.3,150.78,193.8,88.4,18.4,5.20,82,27675,406200,860,5600000,436200,0,0
67,580.8,154.80,195.8,94.6,18.5,5.65,82,27985,404400,855,5600000,434400,0,0
68,588.3,158.86,197.8,100.8,18.6,6.10,82,28295,402600,850,5600000,432600,0,0
69,595.8,162.96,199.8,107.0,18.7,6.55,82,28605,400800,845,5600000,430800,0,0
70,601.2,195.8,206.2,82.5,18.3,5.8,79,28574,399000,670,5600000,429000,0,0
71,608.1,200.52,207.8,89.2,18.4,6.38,79,28845,397500,665,5600000,427500,0,0
72,615.0,205.28,209.4,95.9,18.5,6.96,79,29116,396000,660,5600000,426000,0,0
73,621.9,210.08,211.0,102.6,18.6,7.54,79,29387,394500,655,5600000,424500,0,0
74,628.8,214.92,212.6,109.3,18.7,8.12,79,29658,393000,650,5600000,423000,0,0
75,635.7,219.80,214.2,116.0,18.8,8.70,79,29929,391500,645,5600000,421500,0,0
76,642.6,224.72,215.8,122.7,18.9,9.28,79,30200,390000,640,5600000,420000,0,0
77,649.5,229.68,217.4,129.4,19.0,9.86,79,30471,388500,635,5600000,418500,0,0
78,656.4,234.68,219.0,136.1,19.1,10.44,79,30742,387000,630,5600000,417000,0,0
79,663.3,239.72,220.6,142.8,19.2,11.02,79,31013,385500,625,5600000,415500,0,0
80,668.5,280.5,228.1,119.2,18.7,11.2,76,25721,384000,450,5600000,414000,0,0
81,674.8,286.32,229.2,126.5,18.8,11.95,76,25985,382200,445,5600000,412200,0,0
82,681.1,292.18,230.3,133.8,18.9,12.70,76,26249,380400,440,5600000,410400,0,0
83,687.4,298.08,231.4,141.1,19.0,13.45,76,26513,378600,435,5600000,408600,0,0
84,693.7,304.02,232.5,148.4,19.1,14.20,76,26777,376800,430,5600000,406800,0,0
85,700.0,310.00,233.6,155.7,19.2,14.95,76,27041,375000,425,5600000,405000,0,0
86,706.3,316.02,234.7,163.0,19.3,15.70,76,27305,373200,420,5600000,403200,0,0
87,712.6,322.08,235.8,170.3,19.4,16.45,76,27569,371400,415,5600000,401400,0,0
88,718.9,328.18,236.9,177.6,19.5,17.20,76,27833,369600,410,5600000,399600,0,0
89,725.2,334.32,238.0,184.9,19.6,17.95,76,28097,367800,405,5600000,397800,0,0
90,730.1,382.0,247.2,161.5,19.0,19.5,73,17868,366000,230,5600000,396000,382000,0
91,735.8,389.12,247.8,169.2,19.1,20.38,73,18045,364500,225,5600000,394500,389500,0
92,741.5,396.28,248.4,176.9,19.2,21.26,73,18222,363000,220,5600000,393000,396800,0
93,747.2,403.48,249.0,184.6,19.3,22.14,73,18399,361500,215,5600000,391500,404100,0
94,752.9,410.72,249.6,192.3,19.4,23.02,73,18576,360000,210,5600000,390000,411400,0
95,758.6,418.00,250.2,200.0,19.5,23.90,73,18753,358500,205,5600000,388500,418700,0
96,764.3,425.32,250.8,207.7,19.6,24.78,73,18930,357000,200,5600000,387000,426000,0
97,770.0,432.68,251.4,215.4,19.7,25.66,73,19107,355500,195,5600000,385500,433300,0
98,775.7,440.08,252.0,223.1,19.8,26.54,73,19284,354000,190,5600000,384000,440600,0
99,781.4,447.52,252.6,230.8,19.9,27.42,73,19461,352500,185,5600000,382500,447900,0
100,785.8,500.8,263.2,209.2,19.2,31.2,70,7983,351000,10,5600000,381000,501200,0
110,835.5,637.5,275.8,262.5,19.3,46.8,67,1261,350500,5,5600000,380500,638200,0
120,879.2,792.8,284.8,321.2,19.3,66.5,64,717,350200,3,5600000,380200,793500,0
130,916.8,966.8,290.1,385.5,19.2,91.2,61,0,350000,0,0,380000,967500,0
140,948.3,1160.2,291.5,455.2,19.1,121.8,58,0,350000,0,0,380000,1161000,0
150,973.8,1373.5,288.8,530.5,18.9,159.2,55,0,350000,0,0,380000,1374500,0
160,993.2,1607.2,281.8,611.2,18.6,204.5,52,0,350000,0,0,380000,1608500,0
170,1006.5,1861.8,270.5,697.5,18.2,258.8,49,0,350000,0,0,380000,1863500,0
180,1013.8,2137.8,254.8,789.2,17.7,323.2,46,0,350000,0,0,380000,2139500,0
190,1015.0,2435.5,234.5,886.5,17.1,398.8,43,0,350000,0,0,380000,2437500,0
200,1010.2,2755.2,209.8,989.2,16.4,486.8,40,0,350000,0,0,380000,2757500,0
210,999.3,3097.5,180.5,1097.5,15.6,588.5,37,0,350000,0,0,380000,3099500,0
220,982.3,3462.8,146.8,1211.2,14.7,705.2,34,0,350000,0,0,380000,3465000,0
230,959.2,3851.5,108.5,1330.5,13.7,838.2,31,0,350000,0,0,380000,3853500,0
240,930.1,4264.2,65.8,1455.2,12.6,988.8,28,0,350000,0,0,380000,4266500,0
250,895.0,4701.2,18.5,1585.5,11.4,1158.5,25,0,350000,0,0,380000,4703500,0
260,853.8,5163.2,-33.2,1721.2,10.1,1348.8,22,0,350000,0,0,380000,5165500,0
270,806.5,5650.8,-89.5,1862.5,8.7,1561.2,19,0,350000,0,0,380000,5653500,0
280,753.2,6164.5,-150.2,2009.2,7.2,1797.5,16,0,350000,0,0,380000,6167500,0
290,693.8,6705.2,-215.5,2161.5,5.6,2059.8,13,0,350000,0,0,380000,6708500,0
300,628.3,7273.5,-285.2,2319.2,3.9,2350.2,10,0,350000,0,0,380000,7276500,0
310,556.8,7870.2,-359.5,2482.5,2.1,2670.8,7,0,350000,0,0,380000,7873500,0
320,479.2,8496.2,-438.2,2651.2,0.2,3023.8,4,0,350000,0,0,380000,8499500,600000
330,395.5,9152.5,-521.5,2825.5,-1.8,3411.5,1,0,350000,0,0,380000,600000,600000
340,305.8,9840.2,-609.2,3005.2,-3.9,3836.2,-2,0,350000,0,0,380000,600000,600000
350,210.0,10560.2,-701.5,3190.5,-6.1,4300.5,-5,0,350000,0,0,380000,600000,600000
360,108.2,11313.5,-798.2,3381.2,-8.4,4807.2,-8,0,350000,0,0,380000,600000,600000
370,0.3,12101.2,-899.5,3577.5,-10.8,5359.5,-11,0,350000,0,0,380000,600000,600000
