time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,propellant,mass_flow_rate,thrust,mass,apoapsis,periapsis,propellant_est,mass_flow_rate_est,rho_est,kinetic_energy_est,potential_energy_est,delta_time,delta_v,cum_delta_v,dynamic_pressure_est,thrust_to_weight_est,mach_est,drag_est,apoapsis_est,periapsis_est
10,21.450601930156203,0.02415441249626903,7.642045567605214,0.0,11.313302158989154,0.0,90.0,18.042781812754953,493905.5815341757,2100.0,5600000.0,523905.5815341757,0.0,0.0,471679.8303651378,2005.5,1.224996518927851,120531898.3643197,124099.54224929144,1.0,2.145060193015617,21.450601930156203,281.82779706924254,1.0899694513569316,0.06303623947267391,1409.1389853462126,-31831.665493313223,-6339144.882741173
11,23.595662123171824,0.028969853745895932,8.386250124365734,0.0,11.444632374888071,0.0,90.0,25.047059994030448,493796.13968759327,2100.0,5600000.0,523796.13968759327,0.0,0.0,471575.31340165157,2005.5,1.2249958249399575,145813130.85834876,148809.02516103172,1.0,2.1450601930156203,23.595662123171824,341.0114412630746,1.0901971893267957,0.06933986341994129,1705.057206315373,-31826.765480786562,-6339144.858117994
12,25.740722316187444,0.0345449209033927,9.155775544721918,0.0,11.575962590786986,0.0,90.0,32.30454681126257,493686.6978410109,2100.0,5600000.0,523686.6978410109,0.0,0.0,471470.79643816536,2005.5,1.2249950214773984,173493419.14219326,177409.31569819228,1.0,2.1450601930156203,25.740722316187444,405.83153168576587,1.090425022483587,0.07564348736720869,2029.1576584288293,-31821.398492198437,-6339144.831148202
13,27.885782509203064,0.04067366431200876,9.943756840115412,0.0,11.707292806685903,0.0,90.0,39.746592378867774,493577.2559944284,2100.0,5600000.0,523577.2559944284,0.0,0.0,471366.2794746791,2005.5,1.224994138221227,203571252.49705255,208840.51151377548,1.0,2.1450601930156203,27.885782509203064,476.28805140820776,1.0906529508869967,0.08194711131447607,2381.440257041039,-31815.564730095677,-6339144.801832815
14,30.030842702218685,0.04705989453785693,10.7188637946473,0.0,11.838623022584818,0.0,90.0,47.188637946472994,493467.81414784596,2100.0,5600000.0,523467.81414784596,0.0,0.0,471261.7625111929,2005.5,1.2249932178575031,236045120.2041261,241580.35161389882,1.0,2.1450601930156203,30.030842702218685,552.3809937180707,1.0908809745967636,0.08825073526174346,2761.9049685903537,-31809.264486620203,-6339144.770173299
15,32.1759028952343,0.05406417271913243,11.46306835140782,0.0,11.969953238483733,0.0,90.0,54.63068351407821,493358.37230126356,2100.0,5600000.0,523358.37230126356,0.0,0.0,471157.24554770667,2005.5,1.2249922084234168,270913511.5446133,277478.5481881121,1.0,2.145060193015617,32.1759028952343,634.110312097471,1.0911090936726782,0.09455435920901084,3170.551560487355,-31802.497400220484,-6339144.736167841
16,34.320963088249925,0.06108128544423441,12.20770072629589,0.0,12.101283454382648,0.0,90.0,62.068450900407925,493248.9304546811,2100.0,5600000.0,523248.9304546811,0.0,0.0,471052.72858422046,2005.5,1.2249911971404914,308174915.7997138,313427.5681089374,1.0,2.145060193015624,34.320963088249925,721.4760261547406,1.09133730817458,0.10085798315627824,3607.380130773703,-31795.264070108533,-6339144.6998194475
17,36.46602328126555,0.06939886578449907,12.995682021689385,0.0,12.232613670281564,0.0,90.0,69.07272908168342,493139.4886080987,2100.0,5600000.0,523139.4886080987,0.0,0.0,470948.21162073425,2005.5,1.224989998439584,347827822.2506268,356033.2442931428,1.0,2.145060193015624,36.46602328126555,814.4779981524855,1.0915656181623592,0.10716160710354565,4072.3899907624277,-31787.563211867586,-6339144.661121667
18,38.61108347428117,0.07771644612476371,13.783663317082878,0.0,12.36394388618048,0.0,90.0,76.07700726295892,493030.04676151625,2100.0,5600000.0,523030.04676151625,0.0,0.0,470843.694657248,2005.5,1.2249887997398496,389870720.17855185,398621.066659983,1.0,2.145060193015624,38.61108347428117,913.1163085607554,1.0917940236959558,0.11346523105081305,4565.581542803777,-31779.396116087213,-6339144.620080985
19,40.7561436672968,0.08698676748582233,14.539886578449908,0.0,12.495274102079396,0.0,90.0,83.39886578449908,492920.60491493385,2100.0,5600000.0,522920.60491493385,0.0,0.0,470739.1776937618,2005.5,1.2249874637358913,434302098.8646884,446076.78581909026,1.0,2.145060193015624,40.7561436672968,1017.3908267966883,1.0920225248353599,0.11976885499808045,5086.954133983441,-31770.761831162497,-6339144.576692618
20,42.90120386031241,0.09661764998507612,15.284091135210428,0.0,12.62660431797831,0.0,90.0,90.84091135210427,492811.1630683514,2100.0,5600000.0,522811.1630683514,0.0,0.0,470634.66073027556,2005.5,1.224986075770757,481120447.5902355,495361.21245060436,1.0,2.1450601930156097,42.90120386031241,1127.3015778922456,1.092251121640612,0.12607247894534782,5636.507889461228,-31761.66094250884,-6339144.53095951
21,44.949706496865986,0.11126952542035615,15.98967266938613,0.0,12.719311511292409,0.0,90.0,92.48950353198687,492701.721221769,2100.0,5600000.0,522701.721221769,0.0,0.0,470530.14376678935,2005.5,1.224983964202766,528053171.2779871,570362.3392129828,1.0,2.048502636553579,44.949706496865986,1237.5254199469261,1.0924798141718028,0.13209235210222453,6187.627099734631,-31752.529053312726,-6339144.48507062
22,46.87588299671675,0.1322823599641827,16.646323748880707,0.0,12.763088249925381,0.0,90.0,86.79852750970052,492592.27937518654,2100.0,5600000.0,522592.27937518654,0.0,0.0,470425.62680330314,2005.5,1.2249809359258788,574158656.2251104,677931.1649162477,1.0,1.9261764998507616,46.87588299671675,1345.8549539107025,1.092708602489074,0.13775274911609728,6729.274769553512,-31743.547382057644,-6339144.439936593
23,48.819221967963394,0.1524027459954234,17.313272311212817,0.0,12.81029748283753,0.0,90.0,83.13272311212816,492482.83752860414,2100.0,5600000.0,522482.83752860414,0.0,0.0,470321.1098398169,2005.5,1.2249780362717444,622620966.4667802,780882.1529109438,1.0,1.9433389712466465,48.819221967963394,1459.7551422965869,1.092937486652616,0.14346358096906578,7298.775711482935,-31734.1057602698,-6339144.392491258
24,50.854840314396576,0.1677246045169635,18.03558849865685,0.0,12.875962590786987,0.0,90.0,90.35588498656851,492373.3956820217,2100.0,5600000.0,522373.3956820217,0.0,0.0,470216.5928763307,2005.5,1.2249758281631271,675484899.1845759,859208.3766628,1.0,2.035618346433182,50.854840314396576,1584.0252980532684,1.0931664667226717,0.14944559144963582,7920.126490266342,-31723.81114900671,-6339144.340759543
25,52.890458660829765,0.1830464630385036,18.757904686100886,0.0,12.941627698736445,0.0,90.0,97.57904686100885,492263.9538354393,2100.0,5600000.0,522263.9538354393,0.0,0.0,470112.0759128445,2005.5,1.22497362005849,730490753.4402232,937501.7118037204,1.0,2.035618346433189,52.890458660829765,1713.3709804963444,1.0933955427595328,0.15542760193020588,8566.854902481722,-31713.096636438742,-6339144.286917771
26,54.92607700726296,0.1983683215600438,19.480220873544923,0.0,13.007292806685902,0.0,90.0,104.80220873544921,492154.51198885683,2100.0,5600000.0,522154.51198885683,0.0,0.0,470007.55894935824,2005.5,1.2249714119578332,787637168.737376,1015762.1583337054,1.0,2.0356183464331963,54.92607700726296,1847.7921621776272,1.093624714823543,0.16140961241077598,9238.960810888137,-31701.962218305096,-6339144.230965921
27,56.96169535369616,0.21369018008158397,20.20253706098896,0.0,13.07295791463536,0.0,90.0,112.02537060988959,492045.0701422744,2100.0,5600000.0,522045.0701422744,0.0,0.0,469903.041985872,2005.5,1.2249692038611566,846922784.5796881,1093989.716252755,1.0,2.0356183464331963,56.96169535369616,1987.2888156490283,1.093853982975095,0.16739162289134607,9936.444078245142,-31690.407890181057,-6339144.172903971
28,58.99731370012934,0.23158690677544524,20.924853248432992,0.0,13.138623022584817,0.0,90.0,119.24853248432993,491935.628295692,2100.0,5600000.0,521935.628295692,0.0,0.0,469798.5250223858,2005.5,1.2249666246945718,908346240.4708134,1185363.6938840568,1.0,2.035618346433182,58.99731370012934,2131.8602676672654,1.0940833472746339,0.1733736333719161,10659.301338336327,-31678.43108534068,-6339144.112719022
29,61.03293204656253,0.25128643916028254,21.647169435877025,0.0,13.204288130534275,0.0,90.0,126.47169435877026,491826.1864491095,2100.0,5600000.0,521826.1864491095,0.0,0.0,469694.00805889955,2005.5,1.2249637857249565,971906175.9144065,1285924.8738474718,1.0,2.035618346433189,61.03293204656253,2281.506562020118,1.0943128077826538,0.1793556438524862,11407.532810100589,-31666.03256724216,-6339144.050414911
30,63.06855039299572,0.27098597154511994,22.369485623321065,0.0,13.269953238483733,0.0,90.0,133.69485623321063,491716.7446025271,2100.0,5600000.0,521716.7446025271,0.0,0.0,469589.4910954134,2005.5,1.2249609467619207,1037601230.4141213,1386443.7684539703,1.0,2.035618346433189,63.06855039299572,2436.2280849117665,1.0945423645597012,0.18533765433305627,12181.140424558833,-31653.214124842547,-6339143.986000627
31,65.10416873942891,0.2906855039299573,23.0918018107651,0.0,13.335618346433192,0.0,90.0,140.918018107651,491607.30275594466,2100.0,5600000.0,521607.30275594466,0.0,0.0,469484.9741319271,2005.5,1.2249581078054645,1105430043.4736123,1486920.377703551,1.0,2.0356183464331963,65.10416873942891,2596.0248010529144,1.0947720176663722,0.19131966481362636,12980.124005264572,-31639.97575304564,-6339143.919476146
32,67.1397870858621,0.31047059994030446,23.814117998209134,0.0,13.401283454382648,0.0,90.0,148.14117998209133,491497.86090936227,2100.0,5600000.0,521497.86090936227,0.0,0.0,469380.4571684409,2005.5,1.2249552565248099,1175391254.5965326,1587792.2865547265,1.0,2.035618346433182,67.1397870858621,2760.896647362385,1.0950017671633139,0.1973016752941964,13804.483236811924,-31626.317361450754,-6339143.850841012
33,69.17540543229529,0.33454780618843893,24.53643418565317,0.0,13.466948562332107,0.0,90.0,155.3643418565317,491388.4190627798,2100.0,5600000.0,521388.4190627798,0.0,0.0,469275.9402049547,2005.5,1.2249517867061528,1247483503.2865372,1710567.6025304792,1.0,2.0356183464331963,69.17540543229529,2930.842132980512,1.095231613111225,0.2032836857747665,14654.210664902559,-31612.234758792445,-6339143.780074165
34,71.21102377872849,0.3586250124365735,25.258750373097207,0.0,13.532613670281563,0.0,90.0,162.58750373097206,491278.9772161974,2100.0,5600000.0,521278.9772161974,0.0,0.0,469171.4232414685,2005.5,1.2249483168973245,1321705429.04728,1833291.2364033335,1.0,2.0356183464331963,71.21102377872849,3105.862525651102,1.0954615555708547,0.2092656962553366,15529.31262825551,-31597.732210415415,-6339143.7071970375
35,73.24664212516169,0.38270221868470805,25.981066560541244,0.0,13.598278778231021,0.0,90.0,169.81066560541242,491169.53536961495,2100.0,5600000.0,521169.53536961495,0.0,0.0,469066.9062779823,2005.5,1.2249448470983249,1398055671.382415,1955963.1881732887,1.0,2.0356183464331963,73.24664212516169,3285.9577822443885,1.0956915946030032,0.21524770673590668,16429.78891122194,-31582.80971055478,-6339143.632209601
36,75.28226047159487,0.4067794249328425,26.703382747985277,0.0,13.66394388618048,0.0,90.0,177.03382747985276,491060.09352303256,2100.0,5600000.0,521060.09352303256,0.0,0.0,468962.3893144961,2005.5,1.2249413773091538,1476532869.7955961,2078583.4578403446,1.0,2.035618346433182,75.28226047159487,3471.1278596308503,1.095921730268522,0.22122971721647672,17355.639298154252,-31567.46725327801,-6339143.5551118255
37,77.31787881802806,0.4328305641229728,27.42569893542931,0.0,13.729608994129936,0.0,90.0,184.2569893542931,490950.6516764501,2100.0,5600000.0,520950.6516764501,0.0,0.0,468857.8723510098,2005.5,1.2249376230656928,1557135663.7904775,2211236.4359379737,1.0,2.0356183464331963,77.31787881802806,3661.3718644102278,1.0961519626283136,0.2272117276970468,18306.85932205114,-31551.702868239954,-6339143.47589381
38,79.35349716446126,0.4612854442344047,28.14801512287335,0.0,13.795274102079395,0.0,90.0,191.4801512287335,490841.2098298677,2100.0,5600000.0,520841.2098298677,0.0,0.0,468753.35538752365,2005.5,1.2249335224310025,1639862692.8707137,2356111.1002670275,1.0,2.0356183464331963,79.35349716446126,3856.689422362451,1.0963822917433315,0.2331937381776169,19283.447111812256,-31535.516121439636,-6339143.3945533745
39,81.38911551089446,0.48974032434583636,28.870331310317383,0.0,13.860939210028853,0.0,90.0,198.70331310317385,490731.76798328524,2100.0,5600000.0,520731.76798328524,0.0,0.0,468648.8384240374,2005.5,1.2249294218100395,1724712596.5399585,2500924.685747199,1.0,2.0356183464331963,81.38911551089446,4057.0814641291413,1.0966127176745808,0.239175748658187,20285.407320645707,-31518.909398386255,-6339143.311102505
40,83.42473385732764,0.518195204457268,29.59264749776142,0.0,13.92660431797831,0.0,90.0,205.9264749776142,490622.3261367028,2100.0,5600000.0,520622.3261367028,0.0,0.0,468544.3214605511,2005.5,1.2249253212028042,1811684014.301865,2645677.1923784898,1.0,2.035618346433182,83.42473385732764,4262.54793874129,1.0968432404831179,0.24515775913875704,21312.739693706448,-31501.882692478597,-6339143.225541168
41,85.46035220376082,0.5466500845686997,30.314963685205452,0.0,13.992269425927768,0.0,90.0,213.14963685205453,490512.8842901204,2100.0,5600000.0,520512.8842901204,0.0,0.0,468439.80449706496,2005.5,1.2249212206092959,1900775585.6600888,2790368.6201609005,1.0,2.035618346433182,85.46035220376082,4473.088795230227,1.09707386023005,0.2511397696193271,22365.44397615114,-31484.43599694781,-6339143.137869331
42,87.53459357277883,0.5982787782310217,31.056591383941893,0.0,13.903442443537957,0.0,90.0,239.49119490597946,490403.44244353793,2078.7573375783504,5600000.0,520403.44244353793,0.0,0.0,468335.2875335787,1985.2132573873246,1.2249137805045434,1993744968.2480896,3053264.5433095293,1.0,2.0742413690180115,87.53459357277883,4692.831536531669,1.0973045769765364,0.2572352804160534,23464.157682658348,-31466.203725685365,-6339143.046249878
43,89.613988657845,0.6529997015222369,31.800795940702418,0.0,13.794000596955527,0.0,90.0,268.383842403741,490294.00059695554,2054.6801313302158,5600000.0,520294.00059695554,0.0,0.0,468230.77057009254,1962.219525420356,1.2249058948342768,2089153920.864338,3331827.255167673,1.0,2.0793950850661673,89.613988657845,4918.405651317909,1.0975353907837875,0.26334593628330244,24592.028256589547,-31447.485484640114,-6339142.952188365
44,91.69338374291117,0.7077206248134515,32.54500049746294,0.0,13.684558750373096,0.0,90.0,297.2764899015024,490184.5587503731,2030.6029250820814,5600000.0,520184.5587503731,0.0,0.0,468126.2536066063,1939.2257934533877,1.224898009214776,2186771776.9239087,3610272.5077010435,1.0,2.0793950850661673,91.69338374291117,5149.273178342364,1.0977663017130652,0.26945659215055145,25746.365891711823,-31428.328972814605,-6339142.855924486
45,93.77277882797732,0.7624415481046662,33.28920505422346,0.0,13.575116903790668,0.0,90.0,326.1691373992637,490075.1169037907,2006.525718833947,5600000.0,520075.1169037907,0.0,0.0,468021.73664312006,1916.2320614864193,1.224890123646041,2286597116.785279,3888600.300909644,1.0,2.079395085066153,93.77277882797732,5385.43401534423,1.097997309825683,0.27556724801780047,26927.170076721148,-31408.734182261862,-6339142.757458203
46,95.83844393592679,0.8192219679633872,34.02654462242563,0.0,13.506864988558352,0.0,90.0,350.53089244851265,489945.0800915332,1989.3135011441648,5600000.0,519945.0800915332,0.0,0.0,467897.55148741417,1899.7943935926774,1.2248819413468406,2387849687.4944615,4177146.8014766816,1.0,2.065665107949471,95.83844393592679,5625.274808538939,1.0982719158860228,0.28163755601377294,28126.374042694693,-31388.832409056835,-6339142.657449292
47,97.87406228235997,0.8805094020495476,34.74886080986967,0.0,13.52875335787484,0.0,90.0,364.9772161973934,489769.9731370013,1987.124664212516,5600000.0,519769.9731370013,0.0,0.0,467730.3243458362,1897.7040543229527,1.224873109629122,2489524585.73676,4488134.467467533,1.0,2.035618346433182,97.87406228235997,5866.733128936995,1.0986419161945786,0.28761956649434295,29333.665644684977,-31368.79168129433,-6339142.556742117
48,99.90968062879315,0.9417968361357081,35.4711769973137,0.0,13.550641727191325,0.0,90.0,379.42353994627405,489594.8661824694,1984.9358272808677,5600000.0,519594.8661824694,0.0,0.0,467563.09720425826,1895.6137150532286,1.2248642779750827,2593283502.073391,4798911.646348397,1.0,2.035618346433182,99.90968062879315,6113.263488704937,1.099012165888305,0.293601576974913,30566.317443524687,-31348.33091063425,-6339142.453924174
49,101.94529897522635,1.0030842702218685,36.193493184757735,0.0,13.57253009650781,0.0,90.0,393.8698636951547,489419.7592279375,1982.746990349219,5600000.0,519419.7592279375,0.0,0.0,467395.8700626803,1893.523375783504,1.2248554463847217,2699124259.710201,5109478.338119273,1.0,2.0356183464331963,101.94529897522635,6364.865778092932,1.0993826652194207,0.2995835874554831,31824.328890464658,-31327.45008894801,-6339142.348995422
50,103.98091732165953,1.064371704308029,36.91580937220177,0.0,13.594418465824296,0.0,90.0,408.3161874440354,489244.65227340563,1980.5581534175703,5600000.0,519244.65227340563,0.0,0.0,467228.64292110235,1891.4330365137796,1.2248466148580388,2807044681.853036,5419834.54278016,1.0,2.035618346433182,103.98091732165953,6621.5398873527265,1.0997534144404841,0.30556559793605315,33107.69943676363,-31306.149207932875,-6339142.241955819
51,106.01653566809273,1.1305511889364246,37.63812555964581,0.0,13.616306835140781,0.0,90.0,422.7625111929162,489069.5453188737,1978.369316485922,5600000.0,519069.5453188737,0.0,0.0,467061.41577952437,1889.3426972440554,1.2248370784577844,2917042591.707743,5754882.428388378,1.0,2.0356183464331963,106.01653566809273,6883.281745164491,1.100124413804395,0.31154760841662327,34416.40872582245,-31284.423390658572,-6339142.132780857
52,108.05215401452593,1.1984051338175308,38.360441747089844,0.0,13.638195204457267,0.0,90.0,437.20883494179685,488894.43836434186,1976.1804795542732,5600000.0,518894.43836434186,0.0,0.0,466894.18863794644,1887.2523579743308,1.2248273008465038,3029115812.48017,6098223.710979198,1.0,2.0356183464331963,108.05215401452593,7150.093487697921,1.1004956635643937,0.31752961889719333,35750.467438489606,-31262.275830489583,-6339142.021486585
53,110.08777236095911,1.266259078698637,39.08275793453388,0.0,13.660083573773754,0.0,90.0,451.6551586906776,488719.33140981,1973.9916426226246,5600000.0,518719.33140981,0.0,0.0,466726.9614963685,1885.1620187046065,1.2248175233132759,3143262167.37616,6441331.954269673,1.0,2.035618346433182,110.08777236095911,7421.976297868853,1.1008671639740633,0.3235116293777634,37109.88148934427,-31239.70818499755,-6339141.908081331
54,112.1233907073923,1.3341130235797438,39.80507412197792,0.0,13.68197194309024,0.0,90.0,466.10148243955837,488544.2244552781,1971.802805690976,5600000.0,518544.2244552781,0.0,0.0,466559.73435479053,1883.0716794348818,1.2248077458580997,3259479479.601563,6784207.158259807,1.0,2.0356183464331963,112.1233907073923,7698.93005418255,1.1012389152873292,0.32949363985833346,38494.65027091275,-31216.720445211045,-6339141.7925650515
55,114.1590090538255,1.4031250621828677,40.52739030942195,0.0,13.703860312406725,0.0,90.0,480.54780618843904,488369.1175007462,1969.6139687593275,5600000.0,518369.1175007462,0.0,0.0,466392.5072132126,1880.9813401651577,1.2247978016067702,3377765572.362224,7132736.451280254,1.0,2.0356183464331963,114.1590090538255,7980.953547770581,1.1016109177584594,0.3354756503389036,39904.767738852905,-31193.31144944951,-6339141.674931907
56,116.19462740025868,1.4775455178589196,41.24970649686598,0.0,13.72574868172321,0.0,90.0,494.9941299373197,488194.0105462143,1967.4251318276788,5600000.0,518194.0105462143,0.0,0.0,466225.2800716346,1878.891000895433,1.2247870781230663,3498118268.8639884,7508512.936436652,1.0,2.035618346433182,116.19462740025868,8268.042405458758,1.1019831716420665,0.3414576608194736,41340.2120272938,-31169.47695839964,-6339141.555160595
57,118.23024574669186,1.5519659735349716,41.97202268431002,0.0,13.747637051039698,0.0,90.0,509.4404536862004,488018.90359168244,1965.2362948960304,5600000.0,518018.90359168244,0.0,0.0,466058.0529300567,1876.800661625709,1.22477635473325,3620535392.3127046,7884033.83010235,1.0,2.035618346433182,118.23024574669186,8560.201392717421,1.102355677193107,0.34743967130004366,42801.006963587104,-31145.22234504111,-6339141.4332781155
58,120.26586409312506,1.6263864292110237,42.694338871754056,0.0,13.769525420356183,0.0,90.0,523.8867774350811,487843.7966371505,1963.0474579643817,5600000.0,517843.7966371505,0.0,0.0,465890.8257884787,1874.7103223559845,1.22476563143732,3745014765.914219,8259299.132277348,1.0,2.0356183464331963,120.26586409312506,8857.430376308881,1.1027284346668813,0.35342168178061373,44287.1518815444,-31120.547599731945,-6339141.309284421
59,122.30148243955826,1.700806884887076,43.41665505919809,0.0,13.79141378967267,0.0,90.0,538.3331011839618,487668.68968261866,1960.858621032733,5600000.0,517668.68968261866,0.0,0.0,465723.5986469008,1872.61998308626,1.224754908235276,3871554212.874378,8634308.84296165,1.0,2.0356183464331963,122.30148243955826,9159.729222997787,1.1031014443190366,0.35940369226118385,45798.64611498894,-31095.45271266438,-6339141.1831794605
60,124.33710078599144,1.7792179882598749,44.13897124664213,0.0,13.813302158989156,0.0,90.0,552.7794249328425,487493.58272808674,1958.6697841010844,5600000.0,517493.58272808674,0.0,0.0,465556.3715053228,1870.5296438165356,1.2247436101245974,4000151556.399027,9029315.014125315,1.0,2.035618346433182,124.33710078599144,9467.093354863686,1.1034747064055654,0.3653857027417539,47335.466774318425,-31069.933702187613,-6339141.054943227
61,126.37271913242463,1.8602049547308726,44.861287434086165,0.0,13.835190528305642,0.0,90.0,567.2257486817232,487318.4757735549,1956.480947169436,5600000.0,517318.4757735549,0.0,0.0,465389.1443637449,1868.4393045468112,1.2247319409719901,4130804619.694014,9437119.65702186,1.0,2.0356183464331963,126.37271913242463,9779.523826379707,1.1038482211828073,0.371367713222324,48897.61913189854,-31043.991966131143,-6339140.924582744
62,128.40833747885785,1.9411919212018711,45.5836036215302,0.0,13.857078897622127,0.0,90.0,581.672072430604,487143.36881902296,1954.2921102377873,5600000.0,517143.36881902296,0.0,0.0,465221.9172221669,1866.3489652770868,1.2247202719305643,4263511225.965186,9844646.15623735,1.0,2.0356183464332105,128.40833747885785,10097.023268358731,1.1042219889074487,0.3773497237028941,50485.11634179366,-31017.630057777278,-6339140.792110843
63,130.44395582529103,2.022178887672869,46.30591980897424,0.0,13.878967266938613,0.0,90.0,596.1183961794846,486968.2618644911,1952.1032733061386,5600000.0,516968.2618644911,0.0,0.0,465054.690080589,1864.2586260073622,1.2247086030003194,4398269198.418387,10251894.511771783,1.0,2.035618346433182,130.44395582529103,10419.59153582675,1.1045960098365233,0.38333173418346417,52097.95767913375,-30990.847966645844,-6339140.657527471
64,132.48470798925482,2.1034225450203965,47.02652472390807,0.0,13.901711272510198,0.0,90.0,614.8771266540646,486793.1549099592,1949.4010546214306,5600000.0,516793.1549099592,0.0,0.0,464887.462939011,1861.6780071634662,1.2246968971967216,4535427851.510562,10660165.635449745,1.0,2.040752163963788,132.48470798925482,10748.061123550182,1.1049702842274143,0.3893288312593811,53740.305617750906,-30963.576494686306,-6339140.520484898
65,134.6516565515869,2.19097602228634,47.70506417271913,0.0,13.945488011143171,0.0,90.0,739.6408317580341,486618.0479554273,1934.0791960998906,5600000.0,516618.0479554273,0.0,0.0,464720.23579743307,1847.0456322753955,1.224684282382638,4683418636.861028,11100125.126432754,1.0,2.166948562332095,134.6516565515869,11102.417376011776,1.105344812337853,0.395696777899988,55512.08688005887,-30934.155016729608,-6339140.372638275
66,136.818605113919,2.2785294995522833,48.3836036215302,0.0,13.989264749776142,0.0,90.0,864.4045368620036,486442.94100089546,1918.7573375783504,5600000.0,516442.94100089546,0.0,0.0,464553.00865585514,1832.4132573873246,1.2246716676984917,4833733101.511528,11539783.921544356,1.0,2.166948562332095,136.818605113919,11462.516976540997,1.1057195944259206,0.4020647245405948,57312.58488270499,-30904.25735229347,-6339140.222398755
